Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
532,1346805885755129856,Gary 🏴󠁧󠁢󠁳󠁣󠁴󠁿🤝🇬🇧,@ManOfKent17 @FootyAccums There will be no social distancing wherever it is won. Glasgows street partys will be mayhem,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ManOfKent17', 'name': 'Man Of Kent', 'id': 1339523650488332294, 'id_str': '1339523650488332294', 'indices': [0, 12]}, {'screen_name': 'FootyAccums', 'name': 'Footy Accumulators', 'id': 263257931, 'id_str': '263257931', 'indices': [13, 25]}], 'urls': []}",0,12,2021-02-21 22:05:17,18,1.00,71.09,23.51,99.00,9.00,27.78,77.78,50.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,27.78,11.11,5.56,5.56,33.33,0.00,0.00,5.56,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,11.11,5.56,0.00,5.56,0.00,5.56,16.67,11.11,16.67,0.00,16.67,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11
533,194578749,PutnamHealthDeptNY,A mask is not a substitute for social distancing. Wear a mask over your mouth and nose in addition to staying at le… https://t.co/2Yv0l5ZOCZ,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2Yv0l5ZOCZ', 'expanded_url': 'https://twitter.com/i/web/status/1363610711503613952', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,0,2021-02-21 22:05:02,30,99.00,63.05,43.37,25.77,15.00,13.33,63.33,40.00,3.33,3.33,0.00,0.00,3.33,0.00,0.00,0.00,10.00,16.67,3.33,0.00,3.33,3.33,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,6.67,3.33,0.00,3.33,0.00,0.00,0.00,6.67,0.00,16.67,3.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,3.33,0.00,0.00,0.00,16.67,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67
534,24531481,Ena Quinn,@daithigor My couch and doorway do not adhere to social distancing but such is life,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'daithigor', 'name': 'Daithi', 'id': 221868446, 'id_str': '221868446', 'indices': [0, 10]}], 'urls': []}",0,0,2021-02-21 22:04:58,15,8.69,2.31,98.01,25.77,15.00,20.00,86.67,53.33,6.67,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,13.33,6.67,13.33,6.67,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,13.33,0.00,13.33,0.00,13.33,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67
535,77715584,Terry Lander,"Social distancing was talked about in March 2020, which is when we knew how best to survive the virus without a vac… https://t.co/QXLRawkacB","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/QXLRawkacB', 'expanded_url': 'https://twitter.com/i/web/status/1363610693174517764', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,0,2021-02-21 22:04:58,27,66.94,77.05,58.07,88.52,27.00,14.81,74.07,44.44,7.41,3.70,0.00,3.70,0.00,0.00,0.00,3.70,7.41,14.81,7.41,11.11,7.41,3.70,14.81,3.70,3.70,11.11,3.70,0.00,3.70,3.70,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,3.70,3.70,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,7.41,7.41,3.70,3.70,0.00,11.11,3.70,0.00,14.81,0.00,7.41,3.70,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,3.70,0.00,0.00,0.00,18.52,7.41,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41
536,3229439662,"Dr. Carb⌬n Based Eukary⌬te, Ph.D.🐝","@RobertPicardo @gates_mcfadden @StarTrek I mean, we will still wear masks and do basic social distancing, but a few… https://t.co/AMkwOPEELd","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RobertPicardo', 'name': 'Robert Picardo', 'id': 579006169, 'id_str': '579006169', 'indices': [0, 14]}, {'screen_name': 'gates_mcfadden', 'name': 'Gates McFadden', 'id': 1137700339, 'id_str': '1137700339', 'indices': [15, 30]}, {'screen_name': 'StarTrek', 'name': 'Star Trek', 'id': 130491582, 'id_str': '130491582', 'indices': [31, 40]}], 'urls': [{'url': 'https://t.co/AMkwOPEELd', 'expanded_url': 'https://twitter.com/i/web/status/1363610665873776640', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,4,2021-02-21 22:04:52,24,38.60,66.17,74.76,25.77,24.00,20.83,66.67,33.33,8.33,8.33,4.17,4.17,0.00,0.00,0.00,0.00,4.17,0.00,8.33,4.17,8.33,0.00,16.67,12.50,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,12.50,4.17,12.50,0.00,8.33,4.17,0.00,0.00,4.17,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,41.67,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
537,1363609300002832388,Rob bridgeforth,@msdh Or the fact that you let sports tournaments like this go on with no masking or social distancing https://t.co/OZi7cWKaMz,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'msdh', 'name': 'MS Dept of Health', 'id': 16100741, 'id_str': '16100741', 'indices': [0, 5]}], 'urls': [], 'media': [{'id': 1363610492460298240, 'id_str': '1363610492460298240', 'indices': [103, 126], 'media_url': 'http://pbs.twimg.com/media/EuyEhKcXcAAYQzS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuyEhKcXcAAYQzS.jpg', 'url': 'https://t.co/OZi7cWKaMz', 'display_url': 'pic.twitter.com/OZi7cWKaMz', 'expanded_url': 'https://twitter.com/BridgeforthRob/status/1363610664384794628/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 568, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 1003, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1711, 'resize': 'fit'}}}]}",0,0,2021-02-21 22:04:51,24,72.69,50.00,48.89,25.77,24.00,16.67,70.83,45.83,12.50,4.17,0.00,0.00,4.17,0.00,0.00,8.33,4.17,12.50,4.17,0.00,8.33,4.17,8.33,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,8.33,4.17,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,4.17,0.00,12.50,4.17,8.33,0.00,0.00,4.17,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,16.67,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50
538,181615959,Robbie,@westham009 Looking forward to them being open but I think gyms need to be made a priority - huge benefits for phys… https://t.co/SuS7TqGoBY,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'westham009', 'name': 'Jack Allum 🏳️\u200d🌈', 'id': 40271790, 'id_str': '40271790', 'indices': [0, 11]}], 'urls': [{'url': 'https://t.co/SuS7TqGoBY', 'expanded_url': 'https://twitter.com/i/web/status/1363610628892618756', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,1,2021-02-21 22:04:43,26,88.90,35.01,63.54,89.84,26.00,23.08,76.92,34.62,7.69,7.69,3.85,0.00,0.00,0.00,3.85,0.00,3.85,11.54,7.69,0.00,3.85,0.00,26.92,0.00,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,15.38,3.85,3.85,3.85,0.00,0.00,3.85,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,3.85,3.85,0.00,3.85,15.38,0.00,15.38,3.85,15.38,3.85,3.85,3.85,0.00,0.00,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,23.08,7.69,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,11.54
539,210696748,Earl Manu,@saralhernandez_ I left NYC in October. Don’t expect masks and social distancing to disappear until AT LEAST mid to… https://t.co/wIkvjxoJPy,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'saralhernandez_', 'name': 'Sara H', 'id': 397046495, 'id_str': '397046495', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/wIkvjxoJPy', 'expanded_url': 'https://twitter.com/i/web/status/1363610617144303616', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,0,2021-02-21 22:04:40,24,93.26,33.83,91.31,25.77,12.00,20.83,70.83,33.33,4.17,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,20.83,4.17,0.00,8.33,4.17,12.50,4.17,4.17,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,4.17,0.00,0.00,4.17,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,4.17,8.33,4.17,29.17,0.00,20.83,8.33,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,33.33,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,16.67
540,60959527,The Economist’s 1843 magazine,"After a year of lockdowns and social distancing, many people feel lonelier than ever. In 2018 we asked whether you… https://t.co/YPAaSUfxdy","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YPAaSUfxdy', 'expanded_url': 'https://twitter.com/i/web/status/1363610578678411269', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",3,6,2021-02-21 22:04:31,25,93.26,97.69,96.63,1.00,12.50,20.00,76.00,40.00,8.00,8.00,0.00,4.00,4.00,0.00,0.00,0.00,4.00,16.00,0.00,4.00,8.00,0.00,8.00,12.00,12.00,4.00,4.00,4.00,4.00,0.00,4.00,0.00,0.00,4.00,20.00,0.00,0.00,0.00,0.00,16.00,4.00,0.00,0.00,0.00,4.00,8.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,20.00,0.00,8.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,24.00,12.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00
541,1251175858934603779,mya,tommy and dream not social distancing ://,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1,17,2021-02-21 22:04:23,7,29.30,7.67,89.63,25.77,7.00,14.29,85.71,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29
542,1513343521,Deep State Diplomat,"@SaraCarterDC He doesn't waffle. The point, he doesn't actually know. None of know. The data and research hasn't re… https://t.co/nGtey3qnNU","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SaraCarterDC', 'name': 'Sara A. Carter', 'id': 25202268, 'id_str': '25202268', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/nGtey3qnNU', 'expanded_url': 'https://twitter.com/i/web/status/1363610499879952384', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,0,2021-02-21 22:04:12,24,18.82,4.80,7.84,25.77,6.00,16.67,66.67,45.83,8.33,8.33,0.00,0.00,0.00,8.33,0.00,0.00,8.33,4.17,12.50,4.17,4.17,16.67,20.83,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,8.33,16.67,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.83,0.00,4.17,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,50.00,20.83,4.17,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50
543,22000781,Dan,@DTAl1928 @EssexPR @JuliaHB1 Without social distancing? International acts?,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DTAl1928', 'name': 'DT Al 🚚', 'id': 49000397, 'id_str': '49000397', 'indices': [0, 9]}, {'screen_name': 'EssexPR', 'name': 'Adam Brooks', 'id': 41702018, 'id_str': '41702018', 'indices': [10, 18]}, {'screen_name': 'JuliaHB1', 'name': 'Julia Hartley-Brewer', 'id': 459390022, 'id_str': '459390022', 'indices': [19, 28]}], 'urls': []}",0,0,2021-02-21 22:04:00,8,93.26,10.58,99.00,25.77,4.00,75.00,50.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.50,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,37.50
544,885154580656422912,Matthew (unless it doesn’t matter),"@IngrahamAngle Florida sports have had limited crowds with social distancing, businesses require patrons to wear ma… https://t.co/jfUiO41DpA","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'IngrahamAngle', 'name': 'Laura Ingraham', 'id': 50769180, 'id_str': '50769180', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/jfUiO41DpA', 'expanded_url': 'https://twitter.com/i/web/status/1363610417013133314', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,0,2021-02-21 22:03:52,21,93.26,92.33,1.00,25.77,21.00,38.10,66.67,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,9.52,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,9.52,4.76,4.76,0.00,0.00,0.00,4.76,9.52,0.00,4.76,0.00,4.76,0.00,9.52,4.76,0.00,4.76,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,28.57,9.52,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29
545,1001668536668844032,DiamondHour,"@CattyTheDoormat Thinking about this some more.... 

Social distancing would have been easier with only 50% populat… https://t.co/Gr5CDfKimU","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CattyTheDoormat', 'name': 'cat 🌻', 'id': 3193847284, 'id_str': '3193847284', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/Gr5CDfKimU', 'expanded_url': 'https://twitter.com/i/web/status/1363610394737086467', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,0,2021-02-21 22:03:47,21,55.40,68.29,1.00,95.81,10.50,23.81,66.67,33.33,4.76,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,9.52,14.29,9.52,0.00,0.00,19.05,9.52,9.52,0.00,4.76,9.52,4.76,4.76,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,14.29,4.76,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,4.76,4.76,0.00,4.76,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,4.76,0.00,0.00,0.00,47.62,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.05
546,787697279234875392,WASS 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧🇳🇿🇮🇪,Did I miss the bit about less population than Scotland in a country bigger than UK? Social distancing is normal!!,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",1,21,2021-02-21 22:03:46,20,98.58,15.86,99.00,1.00,10.00,20.00,85.00,45.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,10.00,5.00,0.00,0.00,15.00,25.00,20.00,0.00,0.00,10.00,5.00,0.00,5.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,0.00,5.00,0.00,0.00,5.00,10.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,5.00,10.00,0.00,0.00,0.00,0.00,0.00
547,1341751706795855873,Captain Underbants #LockdownKills,@sinichol @Jack_H2o My eldest relative is in his 90s. His wife who had dementia died frightened and alone in a care… https://t.co/3n8FPjHi7X,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sinichol', 'name': 'Simon Nicholls', 'id': 1411382984, 'id_str': '1411382984', 'indices': [0, 9]}, {'screen_name': 'Jack_H2o', 'name': 'Jack Hennessey', 'id': 295919999, 'id_str': '295919999', 'indices': [10, 19]}], 'urls': [{'url': 'https://t.co/3n8FPjHi7X', 'expanded_url': 'https://twitter.com/i/web/status/1363610316249169932', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,1,2021-02-21 22:03:28,29,69.54,84.96,1.00,1.00,14.50,13.79,58.62,34.48,13.79,10.34,3.45,0.00,0.00,6.90,0.00,3.45,3.45,6.90,6.90,0.00,3.45,0.00,13.79,3.45,0.00,3.45,0.00,0.00,10.34,3.45,6.90,3.45,0.00,3.45,13.79,3.45,0.00,3.45,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,3.45,0.00,0.00,0.00,0.00,6.90,6.90,0.00,10.34,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,3.45,3.45,0.00,3.45,0.00,0.00,0.00,27.59,10.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.24
548,30852252,andy,"@VolvoMan17 All contingent upon masks, social distancing, vax etc etc","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VolvoMan17', 'name': 'VolvoMan #TheResistance', 'id': 1081963901141598209, 'id_str': '1081963901141598209', 'indices': [0, 11]}], 'urls': []}",0,0,2021-02-21 22:03:27,10,98.58,84.14,43.37,25.77,10.00,30.00,50.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
549,1140005491948630017,Dom,@KieranMay93 @PoliticsForAlI That exact article said social distancing ends in July. Even that headline you just se… https://t.co/myT2t4KIPi,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KieranMay93', 'name': 'Kieran May', 'id': 1170387759086878720, 'id_str': '1170387759086878720', 'indices': [0, 12]}, {'screen_name': 'PoliticsForAlI', 'name': 'Politics For All', 'id': 1166419406685188101, 'id_str': '1166419406685188101', 'indices': [13, 28]}], 'urls': [{'url': 'https://t.co/myT2t4KIPi', 'expanded_url': 'https://twitter.com/i/web/status/1363610274486505474', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,0,2021-02-21 22:03:18,22,57.84,96.52,31.94,25.77,11.00,27.27,63.64,27.27,13.64,4.55,0.00,0.00,4.55,0.00,0.00,9.09,0.00,4.55,0.00,9.09,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,9.09,4.55,0.00,4.55,0.00,0.00,4.55,0.00,0.00,18.18,0.00,9.09,9.09,4.55,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,31.82,13.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18
550,706315757265641472,Justice Seeker,"@TopherReisner Your simple mind cannot fathom the idea that Covid policies such as social distancing, mask wearing… https://t.co/bcVr1HbK3F","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TopherReisner', 'name': '𝒯𝑜𝓅𝒽𝑒𝓇 𝑅𝑒𝒾𝓈𝓃𝑒𝓇 🌹🤎🇦🇲 🇵🇸 🇺🇸', 'id': 292164628, 'id_str': '292164628', 'indices': [0, 14]}], 'urls': [{'url': 'https://t.co/bcVr1HbK3F', 'expanded_url': 'https://twitter.com/i/web/status/1363610223135481857', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",2,8,2021-02-21 22:03:06,22,57.84,67.52,11.00,25.77,22.00,22.73,59.09,27.27,9.09,4.55,0.00,0.00,4.55,0.00,0.00,4.55,4.55,4.55,4.55,4.55,4.55,4.55,9.09,9.09,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,4.55,4.55,0.00,0.00,0.00,9.09,4.55,0.00,4.55,0.00,0.00,0.00,4.55,0.00,4.55,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,27.27,9.09,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.64
551,20530030,Alexis Hare,"@LeeGriff82 @cardiffcouncil I do actually and, the size and shape of my sons playground make social distancing impo… https://t.co/R1R3GVx1aq","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'LeeGriff82', 'name': 'Lee', 'id': 1266771809439023104, 'id_str': '1266771809439023104', 'indices': [0, 11]}, {'screen_name': 'cardiffcouncil', 'name': 'Cardiff Council', 'id': 46603880, 'id_str': '46603880', 'indices': [12, 27]}], 'urls': [{'url': 'https://t.co/R1R3GVx1aq', 'expanded_url': 'https://twitter.com/i/web/status/1363610194362703872', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,0,2021-02-21 22:02:59,23,60.05,33.19,54.89,25.77,23.00,26.09,60.87,34.78,8.70,8.70,8.70,0.00,0.00,0.00,0.00,0.00,4.35,4.35,4.35,4.35,8.70,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,0.00,0.00,4.35,8.70,0.00,4.35,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,8.70,0.00,8.70,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,30.43,8.70,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39
